Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68
20061127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.1,NaN,61.98,17.42,23.64,24.03,12.52,30.64,20.7,32.95,45.18,NaN,NaN,46.44,27.88,NaN,38.44,63.7,NaN,31.15,72.29,73.22,51.73,136.79,71.79,NaN,NaN,29.71,NaN,NaN,NaN,43.03,NaN,29.25,NaN,NaN,124.57,NaN,75.99,NaN,NaN,NaN,NaN,52.3,NaN,NaN,NaN,53.5,64.32,NaN,NaN,30.52,52.47,33.15,31.69,21.74,21.8,29.79,35.01,47.5
20061128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.31,NaN,62.61,17.86,23.66,24.33,12.74,30.91,20.97,33.79,45.49,NaN,NaN,46.81,27.25,NaN,38.88,63.57,NaN,31.63,72.55,73.45,51.62,137.29,72.29,NaN,NaN,29.67,NaN,NaN,NaN,42.68,NaN,29.07,NaN,NaN,125.17,NaN,76.52,NaN,NaN,NaN,NaN,52.71,NaN,NaN,NaN,53.95,64.53,NaN,NaN,30.66,53.39,33.21,31.65,21.86,21.91,29.86,34.99,47.78
20061129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.89,NaN,63.42,17.98,23.82,24.56,13,31.28,21.06,35.1,46,NaN,NaN,47.18,28.24,NaN,39.01,63.16,NaN,32.49,73.55,74.7,52.18,139.46,74.42,NaN,NaN,29.9,NaN,NaN,NaN,41.53,NaN,28.87,NaN,NaN,126.62,NaN,78.07,NaN,NaN,NaN,NaN,54.14,NaN,NaN,NaN,54.47,65.63,NaN,NaN,30.95,55.24,33.43,31.93,22.01,22.13,30.09,35.25,49.29
20061130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.05,NaN,63.73,18.18,23.85,24.56,13.13,31.38,21.25,34.86,46.05,NaN,NaN,47.26,28.34,NaN,40.46,64.39,NaN,32.76,73.56,75.65,52.06,139.56,74.85,NaN,NaN,29.86,NaN,NaN,NaN,41.33,NaN,29.16,NaN,NaN,126.68,NaN,78.14,NaN,NaN,NaN,NaN,54.58,NaN,NaN,NaN,54.71,66.46,NaN,NaN,31.02,55.7,33.36,31.91,22.06,22,30.25,35.29,49.99
20061201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.9,NaN,63.64,17.81,23.85,24.45,13.15,30.96,21.22,34.42,45.61,NaN,NaN,46.8,27.98,NaN,40.02,64.12,NaN,32.9,73.27,75.45,51.84,139.64,74.34,NaN,NaN,29.8,NaN,NaN,NaN,41.67,NaN,28.63,NaN,NaN,126.37,NaN,77.74,NaN,NaN,NaN,NaN,55.05,NaN,NaN,NaN,54.47,66.31,NaN,NaN,30.74,55.91,33.15,31.71,21.86,21.92,30.22,35.24,49.6
20061204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.66,NaN,64.11,18.15,24.14,24.65,13.31,31.22,21.34,35.67,46.58,NaN,NaN,47.18,28.41,NaN,40.57,64.12,NaN,32.88,74.81,76.55,52.8,141.36,76.53,NaN,NaN,30.27,NaN,NaN,NaN,40.78,NaN,29.26,NaN,NaN,127.44,NaN,79.14,NaN,NaN,NaN,NaN,54.2,NaN,NaN,NaN,54.98,67.24,NaN,NaN,31.24,55.82,33.65,32.16,22.16,22.29,30.06,35.64,50.9
20061205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.31,NaN,64.52,18.03,24.25,24.94,13.32,31.6,21.57,36.56,47.23,NaN,NaN,47.83,29.33,NaN,40.06,63.81,NaN,33.02,74.87,75.92,52.94,141.93,77.05,NaN,NaN,30.59,NaN,NaN,NaN,40.25,NaN,29.41,NaN,NaN,128.05,NaN,79.86,NaN,NaN,NaN,NaN,54.3,NaN,NaN,NaN,55.5,66.62,NaN,NaN,31.4,56.06,33.82,32.24,22.17,22.43,30.19,35.96,50.78
20061206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,NaN,64.36,18.16,24.1,24.85,13.41,31.32,21.52,36.32,46.67,NaN,NaN,47.45,29.19,NaN,39.39,62.69,NaN,32.91,74.6,75.83,52.91,141.47,76.79,NaN,NaN,30.68,NaN,NaN,NaN,40.36,NaN,29.41,NaN,NaN,127.93,NaN,79.6,NaN,NaN,NaN,NaN,53.89,NaN,NaN,NaN,55.05,66.17,NaN,NaN,31.26,55.89,33.87,32.12,22.02,22.46,30.24,35.93,50.75
20061207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.92,NaN,64.61,18,24.05,25,13.42,31.52,21.54,36.16,46.56,NaN,NaN,47.67,28.83,NaN,39.73,62.73,NaN,32.82,74.26,74.9,52.76,141.06,76.1,NaN,NaN,30.3,NaN,NaN,NaN,40.88,NaN,28.99,NaN,NaN,127.31,NaN,78.97,NaN,NaN,NaN,NaN,53.86,NaN,NaN,NaN,55.5,65.68,NaN,NaN,31.48,55.53,33.78,32.06,21.93,22.41,30.17,35.75,51.12
20061208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.75,NaN,64.43,17.7,24.06,24.91,13.36,31.44,21.63,36.6,46.54,NaN,NaN,47.57,28.88,NaN,38.98,62.05,NaN,32.82,74.27,74.94,52.83,140.84,75.73,NaN,NaN,30.41,NaN,NaN,NaN,40.81,NaN,28.8,NaN,NaN,127.57,NaN,79.15,NaN,NaN,NaN,NaN,53.58,NaN,NaN,NaN,55.33,65.94,NaN,NaN,31.57,55.46,33.89,32.1,21.93,22.46,30.23,35.83,50.99
20061211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.77,NaN,64.73,17.98,24.02,25.16,13.38,31.82,21.57,36.69,46.84,NaN,NaN,48.08,29.51,NaN,39.31,62.57,NaN,32.75,74.47,75.4,53.12,140.83,75.79,NaN,NaN,30.41,NaN,NaN,NaN,40.42,NaN,28.68,NaN,NaN,127.98,NaN,79.61,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,55.8,66.12,NaN,NaN,31.44,55.31,34.09,31.94,22.07,22.51,30.3,35.97,50.68
20061212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.32,NaN,65.03,18.01,23.93,25.24,13.4,31.84,21.68,36.14,46.25,NaN,NaN,48.18,29.36,NaN,38.84,62.52,NaN,32.63,74.04,75.01,53.38,140.24,74.96,NaN,NaN,30.16,NaN,NaN,NaN,40.6,NaN,28.54,NaN,NaN,127.87,NaN,79.45,NaN,NaN,NaN,NaN,52.55,NaN,NaN,NaN,55.96,65.76,NaN,NaN,31.04,55.45,34.12,32,21.99,22.45,30.31,35.76,48.89
20061213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.52,NaN,65.31,18.19,23.89,25.39,13.33,32.09,21.84,36.49,46.87,NaN,NaN,48.64,29.24,NaN,38.88,62.48,NaN,32.9,74.14,74.54,53.64,140.39,75.33,NaN,NaN,30.28,NaN,NaN,NaN,40.4,NaN,28.26,NaN,NaN,128.02,NaN,79.89,NaN,NaN,NaN,NaN,52.88,NaN,NaN,NaN,56.34,65.35,NaN,NaN,31.24,56.06,34.16,31.88,22.03,22.44,30.24,35.96,49.51
20061214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.15,NaN,65.61,18.56,24.12,25.41,13.47,32.16,21.96,36.81,47.51,NaN,NaN,48.7,30.06,NaN,39.03,62.12,NaN,33.4,74.46,74.7,53.95,141.27,76.44,NaN,NaN,30.97,NaN,NaN,NaN,39.5,NaN,28.77,NaN,NaN,129.27,NaN,81.09,NaN,NaN,NaN,NaN,53.73,NaN,NaN,NaN,56.71,65.41,NaN,NaN,31.51,56.94,34.47,32.08,22.23,22.54,30.41,36.36,49.4
20061215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.32,NaN,65.31,18.38,23.73,25.28,13.47,32.03,21.78,37.09,47.54,NaN,NaN,48.25,30.26,NaN,38.24,61,NaN,33.03,74.39,74.2,53.55,140.26,75.6,NaN,NaN,30.83,NaN,NaN,NaN,39.38,NaN,28.87,NaN,NaN,129.29,NaN,81.47,NaN,NaN,NaN,NaN,54.3,NaN,NaN,NaN,56.2,64.82,NaN,NaN,31.39,56.2,34.28,31.99,22.1,22.45,30.4,36.06,48.99
20061218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,NaN,65.2,18.31,23.49,25.34,13.38,31.9,21.74,36.59,47.51,NaN,NaN,48.16,30.68,NaN,37.8,61.04,NaN,32.06,73.4,73.95,53.72,139.21,74.19,NaN,NaN,30.78,NaN,NaN,NaN,39.8,NaN,28.82,NaN,NaN,128.89,NaN,80.89,NaN,NaN,NaN,NaN,53.16,NaN,NaN,NaN,56.31,64.33,NaN,NaN,31.03,54.44,34.46,32.03,22.01,22.43,30.47,36.03,47.63
20061219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.82,NaN,65.53,18.32,23.62,25.47,13.32,32.13,21.98,36.7,48,NaN,NaN,48.54,30.57,NaN,38.9,61.8,NaN,32.57,73.35,73.3,53.72,138.86,74.39,NaN,NaN,30.57,NaN,NaN,NaN,39.54,NaN,28.32,NaN,NaN,129.17,NaN,81.38,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,56.69,63.67,NaN,NaN,31.29,55.45,34.43,32.04,21.86,22.45,30.64,36.05,48.48
20061220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.23,NaN,65.4,18.52,23.51,24.93,13.32,31.53,20.95,35.83,48.17,NaN,NaN,48.3,31.21,NaN,38.16,61.62,NaN,32.12,73.8,72.9,53.84,139.24,74.52,NaN,NaN,30.33,NaN,NaN,NaN,39.73,NaN,28.52,NaN,NaN,129.08,NaN,81.04,NaN,NaN,NaN,NaN,54.05,NaN,NaN,NaN,56.32,64.48,NaN,NaN,31.12,54.63,34.55,32.09,21.87,22.47,30.66,36.04,47.59
20061221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.16,NaN,65.37,18.39,23.2,24.91,13.4,31.63,20.87,35.84,48.5,NaN,NaN,48.16,30.77,NaN,37.59,61.38,NaN,31.87,73.44,72.1,53.88,138.66,73.83,NaN,NaN,30.33,NaN,NaN,NaN,40.16,NaN,28.12,NaN,NaN,128.57,NaN,80.52,NaN,NaN,NaN,NaN,53.34,NaN,NaN,NaN,56.17,63.84,NaN,NaN,30.7,54.35,34.39,32.02,21.76,22.48,30.57,35.87,46.58
20061222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.29,NaN,65.2,18.47,23.12,24.6,13.45,31.19,20.82,35.94,48.6,NaN,NaN,47.69,31.19,NaN,37.28,61.65,NaN,31.61,72.93,71.46,53.68,137.4,72.63,NaN,NaN,30.42,NaN,NaN,NaN,40.91,NaN,27.9,NaN,NaN,127.7,NaN,79.29,NaN,NaN,NaN,NaN,52.92,NaN,NaN,NaN,56,63.18,NaN,NaN,30.51,53.78,34.21,31.8,21.58,22.46,30.43,35.84,46.29
20061226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.64,NaN,65.17,18.53,22.97,24.78,13.44,31.24,20.93,36.27,49.29,NaN,NaN,47.82,32.48,NaN,37.62,61.98,NaN,31.62,74.03,72.28,54,138.63,73.86,NaN,NaN,30.41,NaN,NaN,NaN,40.35,NaN,28.12,NaN,NaN,128.53,NaN,80.43,NaN,NaN,NaN,NaN,51.64,NaN,NaN,NaN,56.03,63.72,NaN,NaN,30.81,53.85,34.54,31.97,21.71,22.56,30.45,35.96,46.65
20061227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.17,NaN,66.07,18.91,23.35,25.06,13.5,31.78,21.19,37.15,49.76,NaN,NaN,48.65,33.92,NaN,38.38,62.22,NaN,31.99,74.96,73,54.47,139.89,75.29,NaN,NaN,30.66,NaN,NaN,NaN,39.49,NaN,28.37,NaN,NaN,129.45,NaN,81.63,NaN,NaN,NaN,NaN,51.35,NaN,NaN,NaN,56.72,64.4,NaN,NaN,31.15,54.54,34.8,32.15,21.88,22.65,30.61,36.21,47.69
20061228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.1,NaN,66.12,18.99,23.43,25.08,13.51,31.79,21.29,37.26,49.68,NaN,NaN,48.55,34.06,NaN,38.76,62.9,NaN,32.1,74.6,73.25,54.35,139.27,74.72,NaN,NaN,30.5,NaN,NaN,NaN,39.5,NaN,28.37,NaN,NaN,129.16,NaN,81.29,NaN,NaN,NaN,NaN,51.3,NaN,NaN,NaN,57.02,64.61,NaN,NaN,31.1,54.41,34.63,32.03,21.87,22.64,30.57,36.17,47.54
20061229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.03,NaN,66.04,18.75,23.4,25.08,13.53,31.96,21.11,37.35,49.42,NaN,NaN,48.65,33.74,NaN,38.5,63.21,NaN,31.89,73.85,73.05,53.62,138.19,73.32,NaN,NaN,30.48,NaN,NaN,NaN,40.45,NaN,28.26,NaN,NaN,128.57,NaN,80.38,NaN,NaN,NaN,NaN,51.6,NaN,NaN,NaN,56.78,64.97,NaN,NaN,30.86,53.82,34.42,31.8,21.8,22.51,30.48,35.97,46.97
20070103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.35,NaN,66.33,18.79,22.83,25.33,13.52,32.07,21.25,37.2,48.08,NaN,NaN,49,35.39,NaN,37.02,62.28,NaN,30.66,73.98,73.57,54,138.93,74.02,NaN,NaN,30.85,NaN,NaN,NaN,40.7,NaN,28.18,NaN,NaN,128.32,NaN,79.82,NaN,NaN,NaN,NaN,49.4,NaN,NaN,NaN,57.12,65.09,NaN,NaN,30.63,51.77,34.6,32.02,21.87,22.68,30.49,36.13,45.55
20070104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.82,NaN,66.12,18.35,22.43,25.24,13.67,31.81,21.2,36.6,47.16,NaN,NaN,48.97,34.03,NaN,36.31,61.65,NaN,29.92,74.19,73.55,53.98,139.1,74.27,NaN,NaN,30.91,NaN,NaN,NaN,40.48,NaN,28.8,NaN,NaN,128.61,NaN,80.27,NaN,NaN,NaN,NaN,47.39,NaN,NaN,NaN,56.99,65.19,NaN,NaN,30.47,50.74,34.48,31.87,22.23,22.72,30.87,36.12,45.31
20070105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.72,NaN,65.02,17.97,22.35,24.79,13.3,31.37,20.75,34.97,45.88,NaN,NaN,48.02,31.91,NaN,35.8,60.17,NaN,30.15,72.55,72.25,53.39,137.44,72.19,NaN,NaN,30.49,NaN,NaN,NaN,41.34,NaN,28.46,NaN,NaN,127.48,NaN,78.9,NaN,NaN,NaN,NaN,47.83,NaN,NaN,NaN,55.99,63.76,NaN,NaN,30.24,51.11,34.19,31.75,22.04,22.53,30.68,35.86,44.9
20070108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.99,NaN,65.12,18.1,22.19,24.71,13.38,31.36,20.85,35.6,46.38,NaN,NaN,48.05,32.94,NaN,35.89,60.48,NaN,30.24,72.25,72.23,53.54,137.46,72.76,NaN,NaN,30.51,NaN,NaN,NaN,41.02,NaN,28.67,NaN,NaN,128.14,NaN,79.61,NaN,NaN,NaN,NaN,47.49,NaN,NaN,NaN,55.89,63.87,NaN,NaN,30.24,51.11,34.35,31.88,22.11,22.57,30.72,35.92,45.38
20070109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.16,NaN,65.19,18.23,22.24,24.83,13.47,31.45,20.7,34.45,45.99,NaN,NaN,47.92,31.33,NaN,35.64,60.85,NaN,29.89,72.97,73.2,53.42,138.29,73.07,NaN,NaN,30.71,NaN,NaN,NaN,41.05,NaN,28.94,NaN,NaN,128.01,NaN,79.4,NaN,NaN,NaN,NaN,47.3,NaN,NaN,NaN,55.64,64.83,NaN,NaN,30.24,50.63,34.29,31.86,22.14,22.63,30.68,36.13,44.84
20070110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.07,NaN,64.64,18.07,22.21,24.54,13.26,31.12,20.64,34.77,45.81,NaN,NaN,47.34,30.64,NaN,35.2,60.59,NaN,29.54,73.57,74.53,53.5,139.3,73.57,NaN,NaN,30.86,NaN,NaN,NaN,40.83,NaN,29.36,NaN,NaN,128.48,NaN,79.79,NaN,NaN,NaN,NaN,45.36,NaN,NaN,NaN,55.28,65.82,NaN,NaN,30.49,49.56,34.41,31.98,22.26,22.74,30.74,36.33,45.4
20070111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.53,NaN,65.1,18.28,22.32,24.78,13.19,31.51,20.95,35.17,46.44,NaN,NaN,47.92,30.93,NaN,35.52,60.63,NaN,29.31,74.05,75.5,53.56,140.12,75.21,NaN,NaN,31.25,NaN,NaN,NaN,40.07,NaN,29.59,NaN,NaN,129.1,NaN,80.82,NaN,NaN,NaN,NaN,44.34,NaN,NaN,NaN,56.27,66.83,NaN,NaN,30.86,49.25,34.64,32.27,22.5,22.94,31.11,36.76,45.83
20070112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.28,NaN,65.92,18.67,22.86,25.06,13.37,31.75,21.17,36,47.35,NaN,NaN,48.31,31.73,NaN,36.49,62.17,NaN,30.24,74.8,75.8,53.59,141.7,76.43,NaN,NaN,31.37,NaN,NaN,NaN,39.48,NaN,29.7,NaN,NaN,130.19,NaN,81.83,NaN,NaN,NaN,NaN,44.63,NaN,NaN,NaN,56.67,67.08,NaN,NaN,31.24,50.63,34.68,32.37,22.56,22.9,31.27,36.87,46.88
20070116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.41,NaN,65.83,18.63,22.52,25.21,13.42,31.61,21.17,35.45,47.9,NaN,NaN,48.17,32.39,NaN,36.11,61.97,NaN,29.91,74.27,76.79,53.75,140.6,75.68,NaN,NaN,31.43,NaN,NaN,NaN,39.62,NaN,29.33,NaN,NaN,129.91,NaN,81.71,NaN,NaN,NaN,NaN,43.34,NaN,NaN,NaN,56.69,68.2,NaN,NaN,31.34,50.06,34.78,32.56,22.51,22.92,31.35,37.01,46.07
20070117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.25,NaN,65.87,18.61,22.78,25.06,13.42,31.47,21.17,35.48,48.31,NaN,NaN,47.85,32.01,NaN,36.29,62.64,NaN,30.19,73.93,77.05,53.5,140.97,76.02,NaN,NaN,31.35,NaN,NaN,NaN,39.65,NaN,29.05,NaN,NaN,129.97,NaN,81.66,NaN,NaN,NaN,NaN,44.22,NaN,NaN,NaN,56.57,68.17,NaN,NaN,31.46,50.67,34.68,32.59,22.2,23,31.55,37.01,46.47
20070118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.86,NaN,65.62,18.75,22.51,24.91,13.41,31.37,21.12,35.19,48.37,NaN,NaN,47.68,31.53,NaN,35.56,62.26,NaN,29.91,73.28,76.75,53.65,139.61,74.41,NaN,NaN,31.66,NaN,NaN,NaN,40.03,NaN,27.77,NaN,NaN,129.48,NaN,80.93,NaN,NaN,NaN,NaN,43.23,NaN,NaN,NaN,56.49,68.07,NaN,NaN,31.24,50.26,34.53,32.43,21.93,22.96,31.65,37.23,45.59
20070119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.52,NaN,66.51,19.06,22.85,25.28,13.51,31.76,21.38,36.27,48.6,NaN,NaN,48.34,32.04,NaN,36.12,63,NaN,30.62,73.58,77.52,53.72,140.34,75.41,NaN,NaN,31.79,NaN,NaN,NaN,39.74,NaN,28.01,NaN,NaN,129.76,NaN,81.46,NaN,NaN,NaN,NaN,44.43,NaN,NaN,NaN,57.23,68.87,NaN,NaN,31.79,51.77,34.64,32.41,21.92,23,31.66,37.22,46.89
20070122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.48,NaN,66.14,19.01,22.57,24.97,13.51,31.47,21.26,36.43,49.01,NaN,NaN,47.82,32.26,NaN,35.86,62.72,NaN,30.49,73.01,77.25,53.67,139.92,74.6,NaN,NaN,31.48,NaN,NaN,NaN,40.23,NaN,27.78,NaN,NaN,129.32,NaN,80.52,NaN,NaN,NaN,NaN,43.84,NaN,NaN,NaN,56.89,68.19,NaN,NaN,31.42,51.38,34.61,32.02,21.75,22.97,31.45,36.97,46.54
20070123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.33,NaN,66.79,19.51,23.06,25.17,13.59,31.69,21.46,37.65,50.03,NaN,NaN,48.24,32.89,NaN,37.69,64.23,NaN,31.32,73.74,77.5,53.73,140.72,75.79,NaN,NaN,31.5,NaN,NaN,NaN,39.95,NaN,27.74,NaN,NaN,129.75,NaN,81.13,NaN,NaN,NaN,NaN,45.65,NaN,NaN,NaN,57.32,68.57,NaN,NaN,31.87,52.84,34.59,32.43,21.75,23.02,31.27,37.11,48.22
20070124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.67,NaN,67.27,19.31,23.31,25.33,13.78,31.96,21.61,38.02,50.29,NaN,NaN,48.62,33.43,NaN,38.15,64.33,NaN,31.52,74.59,78.7,53.91,142.29,77.43,NaN,NaN,31.79,NaN,NaN,NaN,39.08,NaN,28.21,NaN,NaN,130.89,NaN,82.49,NaN,NaN,NaN,NaN,46.1,NaN,NaN,NaN,57.86,69.62,NaN,NaN,32.24,53.09,34.97,32.33,22.17,23.12,31.53,37.26,48.87
20070125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.48,NaN,66.06,18.77,23.05,25.02,13.54,31.44,21.25,37.09,48.06,NaN,NaN,47.85,31.48,NaN,37.7,64.06,NaN,30.92,73.6,79.23,53.55,140.93,75.66,NaN,NaN,31.33,67.55,157.33,NaN,40.31,NaN,28.17,NaN,NaN,129.2,NaN,80.71,NaN,173.75,NaN,NaN,45.27,69.19,NaN,NaN,56.77,70.12,NaN,NaN,32.12,51.9,34.43,32.14,21.88,22.95,31.41,36.63,48.65
20070126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.71,NaN,66.2,18.78,23.23,25.04,13.55,31.58,21.18,37.5,49.04,NaN,NaN,48.03,31.76,NaN,37.79,64.17,NaN,31.06,73.89,79.5,53.63,141.09,75.79,NaN,NaN,31.24,66.17,158.05,NaN,40.54,NaN,28.44,NaN,NaN,129.07,NaN,80.49,NaN,170.55,NaN,NaN,46.28,68.46,NaN,NaN,56.87,70.39,NaN,NaN,32.1,52.04,34.5,32,21.89,22.88,31.22,36.44,49.3
20070129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.21,NaN,66.28,18.79,23.06,25.16,13.6,31.78,21.17,36.45,47.95,NaN,NaN,48.16,31.13,NaN,37.14,63.77,NaN,30.87,74.57,79.76,53.38,141.98,77.02,NaN,NaN,31.33,66.17,152.81,NaN,40.65,NaN,28.38,NaN,NaN,129,NaN,80.22,NaN,166.59,NaN,NaN,44.97,69.54,NaN,NaN,56.99,70.66,NaN,NaN,31.96,51.76,34.32,32.08,21.99,22.95,31.17,36.54,49.04
20070130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.78,NaN,66.78,19.2,23.33,25.53,13.69,31.97,21.23,37.02,48.91,NaN,NaN,48.71,32.18,NaN,37.56,64.22,NaN,31.54,75,80.07,53.56,142.57,77.36,NaN,NaN,31.34,68.05,148.93,NaN,40.02,NaN,28.42,NaN,NaN,129.73,NaN,81.13,NaN,163.07,NaN,NaN,47.36,70.41,NaN,NaN,57.44,71.07,NaN,NaN,32.06,52.91,34.46,32.06,22.13,22.93,31.34,36.65,50.04
20070131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.07,NaN,67.06,19.17,23.42,25.74,13.63,32.08,21.27,37.75,49.76,NaN,NaN,49.02,31.2,NaN,38.19,64.83,NaN,31.69,75.17,81.1,53.92,143.36,78.19,NaN,NaN,31.82,69.56,143.93,NaN,39.34,NaN,28.46,NaN,NaN,130.7,NaN,82.21,NaN,162.39,NaN,NaN,48.24,70.66,NaN,NaN,57.85,71.73,NaN,NaN,32.27,53.28,34.76,32.53,22.27,23.04,31.5,37.07,50.68
20070201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.54,NaN,67.68,19.11,23.6,25.96,13.82,32.29,21.4,38.49,50.97,NaN,NaN,49.35,31.37,NaN,38.44,65.22,NaN,31.99,76.02,81.05,54.37,145,80.27,NaN,NaN,32.1,70.92,140.81,NaN,38.69,264.6,28.73,NaN,NaN,131.56,NaN,83.24,NaN,156.59,NaN,NaN,47.84,72.29,699.19,54.22,58.3,72.06,NaN,NaN,32.71,53.49,35,32.84,22.17,23.14,31.79,37.21,51.66
20070202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.42,NaN,67.53,19.11,23.44,25.9,13.73,32.24,21.52,38.54,50.32,NaN,NaN,49.18,31.24,NaN,37.91,64.28,NaN,31.96,76.07,81.7,54.48,145.14,80.54,NaN,NaN,32.06,70.82,137.69,NaN,38.58,264.6,28.95,197.62,NaN,131.76,NaN,83.54,NaN,156.03,NaN,NaN,49.34,72.41,707.79,53.7,58.19,72.21,NaN,NaN,32.65,53.82,35.07,32.98,22.29,23.19,31.72,37.32,51.27
20070205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.46,NaN,67.29,19.22,23.55,25.8,13.62,32.11,21.44,39.05,49.38,NaN,NaN,48.93,31.11,NaN,38.07,64.31,NaN,31.9,76.06,81.64,54.47,145.67,80.41,NaN,NaN,32.01,70.57,140.69,NaN,38.55,263.04,29.12,195.72,NaN,131.79,NaN,83.43,NaN,157.27,NaN,NaN,49.1,71.83,703.39,53.97,57.97,72.21,NaN,NaN,32.49,53.76,35.06,33.05,22.23,23.1,31.71,37.19,50.99
20070206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.84,NaN,67.87,19.48,23.63,25.9,13.74,32.15,21.54,39.17,50.67,NaN,NaN,49.27,31.74,NaN,38.32,64.79,NaN,31.91,76.26,82.9,54.77,146.2,81.44,NaN,NaN,32.19,71.26,138.29,NaN,38.74,259.64,28.89,195.72,NaN,131.83,NaN,83.43,NaN,155.71,NaN,NaN,49.21,72.52,714.29,54.34,58.59,73.45,NaN,NaN,32.74,53.58,35.23,33.06,22.2,23.06,31.61,37.33,51.42
20070207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.69,NaN,68.08,19.64,23.52,26.05,13.73,32.5,21.64,38.38,50.28,NaN,NaN,49.58,31.94,NaN,37.9,64.63,NaN,31.69,77,84.27,55.03,147.04,82.31,NaN,NaN,32.24,72.2,135.49,NaN,38.36,257.16,29.17,195.72,NaN,132.16,NaN,83.74,NaN,151.51,NaN,NaN,48.25,73.74,714.29,54.27,58.81,75.24,NaN,NaN,32.74,53.23,35.37,33.03,22.31,23,31.66,37.52,51.1
20070208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.49,NaN,67.78,19.78,23.65,26.12,13.55,32.35,21.48,38.57,50.14,NaN,NaN,49.58,32.31,NaN,38.85,65.52,NaN,32.01,76.87,83.55,54.69,146.92,82.16,NaN,NaN,32.19,71.94,135.33,NaN,38.5,260.16,29.03,194.77,NaN,131.97,NaN,83.56,NaN,151.63,NaN,NaN,49.75,73.72,715.79,54.43,58.62,74.57,NaN,NaN,32.79,53.82,35.25,32.78,22.34,22.95,31.63,37.44,51.01
